Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
16.320562,112.00,1989-06-26,112.75,110.875,111.25,IBM,6836400
16.666645,114.375,1989-06-27,114.50,112.375,112.50,IBM,9717200
16.593786,113.875,1989-06-28,115.125,113.125,114.25,IBM,6776800
16.247702,111.50,1989-06-29,113.25,111.25,113.125,IBM,6438000
16.302347,111.875,1989-06-30,112.125,109.625,111.75,IBM,7298800
16.356992,112.25,1989-07-03,112.50,111.75,112.50,IBM,2451200
16.320562,112.00,1989-07-05,112.75,111.25,111.75,IBM,4124400
16.265917,111.625,1989-07-06,112.375,111.375,112.375,IBM,3357200
16.338777,112.125,1989-07-07,112.75,111.25,111.875,IBM,4863200
16.703075,114.625,1989-07-10,115.00,112.25,112.375,IBM,7008400
16.593786,113.875,1989-07-11,115.875,113.625,115.50,IBM,6970000
16.72129,114.75,1989-07-12,115.125,113.375,113.625,IBM,4613600
16.739505,114.875,1989-07-13,115.25,114.25,114.75,IBM,4674400
16.72129,114.75,1989-07-14,115.00,113.625,114.75,IBM,5793200
16.903439,116.00,1989-07-17,116.50,114.50,114.50,IBM,5684800
16.72129,114.75,1989-07-18,116.75,114.50,116.125,IBM,6050400
16.666645,114.375,1989-07-19,115.50,114.125,115.25,IBM,5478400
16.429852,112.75,1989-07-20,114.625,112.75,114.00,IBM,5055200
16.630216,114.125,1989-07-21,114.375,112.50,112.50,IBM,6610800
16.539141,113.50,1989-07-24,114.125,113.375,113.875,IBM,3789600
16.429852,112.75,1989-07-25,114.375,112.50,113.625,IBM,4400800
16.393422,112.50,1989-07-26,112.625,110.625,111.375,IBM,8783600
16.466281,113.00,1989-07-27,113.00,111.875,112.50,IBM,6232400
16.520926,113.375,1989-07-28,114.25,113.125,113.25,IBM,4750800
16.75772,115.00,1989-07-31,115.25,113.625,113.625,IBM,5461200
16.703075,114.625,1989-08-01,116.50,114.50,115.50,IBM,7968000
16.612001,114.00,1989-08-02,115.00,113.625,114.75,IBM,6328400
16.753392,113.75,1989-08-03,114.00,112.625,112.75,IBM,8900000
17.011137,115.50,1989-08-04,115.75,113.25,113.375,IBM,9625600
17.287292,117.375,1989-08-07,117.625,115.75,116.50,IBM,8838000
17.416164,118.25,1989-08-08,119.375,117.75,117.875,IBM,10592800
17.250471,117.125,1989-08-09,119.125,117.125,118.00,IBM,6479200
17.305702,117.50,1989-08-10,118.25,116.125,116.875,IBM,5542000
17.011137,115.50,1989-08-11,118.25,114.875,118.00,IBM,7165200
17.103189,116.125,1989-08-14,116.50,114.75,115.00,IBM,5942400
17.121599,116.25,1989-08-15,116.50,115.375,116.50,IBM,4409600
17.011137,115.50,1989-08-16,116.375,115.125,116.25,IBM,4097600
16.900675,114.75,1989-08-17,115.75,114.375,115.50,IBM,4374800
16.955906,115.125,1989-08-18,115.50,114.75,114.75,IBM,5214800
16.64293,113.00,1989-08-21,115.375,113.00,115.00,IBM,4914000
16.734982,113.625,1989-08-22,113.875,112.50,113.125,IBM,6304000
16.790213,114.00,1989-08-23,114.125,112.75,113.875,IBM,4057600
17.084778,116.00,1989-08-24,116.125,113.25,113.875,IBM,10243200
17.103189,116.125,1989-08-25,116.50,115.625,116.00,IBM,5590400
17.379343,118.00,1989-08-28,118.125,115.375,116.00,IBM,6726400
17.140009,116.375,1989-08-29,118.375,116.00,117.75,IBM,5335200
17.21365,116.875,1989-08-30,117.50,116.125,116.50,IBM,6039200
17.250471,117.125,1989-08-31,117.625,116.875,117.25,IBM,3756000
17.287292,117.375,1989-09-01,118.25,116.875,116.875,IBM,4199200
17.342523,117.75,1989-09-05,118.75,117.375,117.50,IBM,6833200
17.19524,116.75,1989-09-06,117.625,116.00,117.625,IBM,4422400
17.121599,116.25,1989-09-07,117.00,115.875,117.00,IBM,4564800
17.084778,116.00,1989-09-08,116.375,115.00,115.875,IBM,4693600
17.121599,116.25,1989-09-11,116.375,115.375,115.875,IBM,3786400
17.21365,116.875,1989-09-12,117.25,116.125,116.125,IBM,4316800
16.992727,115.375,1989-09-13,117.50,115.375,117.00,IBM,6668000
17.047958,115.75,1989-09-14,115.875,115.00,115.375,IBM,4278000
17.011137,115.50,1989-09-15,116.25,115.125,115.625,IBM,8215200
17.103189,116.125,1989-09-18,116.125,115.375,115.625,IBM,3597600
17.084778,116.00,1989-09-19,116.50,116.00,116.375,IBM,4152000
17.084778,116.00,1989-09-20,116.375,115.75,116.00,IBM,3857600
17.103189,116.125,1989-09-21,117.25,116.00,116.00,IBM,4774000
17.158419,116.50,1989-09-22,116.875,116.125,116.375,IBM,2908000
17.121599,116.25,1989-09-25,117.875,116.125,116.75,IBM,4562000
17.305702,117.50,1989-09-26,117.75,116.625,116.75,IBM,5478800
16.422007,111.50,1989-09-27,112.50,111.00,111.00,IBM,22626000
16.0538,109.00,1989-09-28,111.25,107.75,111.125,IBM,15702800
16.090621,109.25,1989-09-29,109.375,108.625,109.00,IBM,8686000
15.998569,108.625,1989-10-02,109.75,108.375,109.375,IBM,6179600
15.611952,106.00,1989-10-03,108.25,105.625,108.125,IBM,11879200
15.943338,108.25,1989-10-04,108.25,106.00,106.00,IBM,12170000
15.832876,107.50,1989-10-05,109.125,107.00,108.75,IBM,6962000
15.832876,107.50,1989-10-06,108.125,107.125,107.50,IBM,5562800
16.090621,109.25,1989-10-09,109.25,107.75,107.75,IBM,3172000
15.943338,108.25,1989-10-10,109.375,107.875,109.25,IBM,4258000
15.869697,107.75,1989-10-11,108.25,107.50,108.00,IBM,4696400
15.851287,107.625,1989-10-12,107.75,107.25,107.625,IBM,4170400
15.022822,102.00,1989-10-13,108.00,99.875,107.375,IBM,9716800
15.170105,103.00,1989-10-16,107.75,97.75,98.50,IBM,21450800
15.059643,102.25,1989-10-17,102.875,100.50,102.00,IBM,11628400
14.986002,101.75,1989-10-18,103.00,101.50,101.75,IBM,6253200
15.335798,104.125,1989-10-19,105.375,103.125,103.50,IBM,8906400
15.354208,104.25,1989-10-20,104.625,103.50,104.125,IBM,7726400
15.243746,103.50,1989-10-23,104.75,103.375,104.25,IBM,5800000
15.170105,103.00,1989-10-24,104.50,101.00,103.25,IBM,8082000
15.004412,101.875,1989-10-25,102.75,101.75,101.75,IBM,4377200
14.838719,100.75,1989-10-26,101.75,100.50,101.125,IBM,6823600
